"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "Properties", "Swift", "C++", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/.idea/misc.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/.idea/modules.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"/Users/macbook/Documents/GitHub/godofdiscipline/analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 12, 68
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/debug/AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/main/AndroidManifest.xml", "XML", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/main/res/drawable/launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/main/res/values-night/styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/main/res/values/styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/macbook/Documents/GitHub/godofdiscipline/android/app/src/profile/AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/macbook/Documents/GitHub/godofdiscipline/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/android/godofdiscipline_android.iml", "XML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/macbook/Documents/GitHub/godofdiscipline/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/add.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/arrow_right.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/avatar.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/bell.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/bio.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/blog.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/calendar.svg", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/category.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/cloak.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/close.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/date.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/assets/icons/def_avatar.svg", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
