"filename", "language", "XML", "JSON", "YAML", "Dart", "C++", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_bloc.dart", "Dart", 0, 0, 0, 49, 0, 0, 3, 52
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_event.dart", "Dart", 0, 0, 0, 25, 0, 0, 6, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_state.dart", "Dart", 0, 0, 0, 5, 0, 0, 4, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_bloc.dart", "Dart", 0, 0, 0, 21, 0, 0, 3, 24
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_event.dart", "Dart", 0, 0, 0, 7, 0, 0, 4, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_state.dart", "Dart", 0, 0, 0, 9, 0, 0, 6, 15
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/firebase_options.dart", "Dart", 0, 0, 0, 53, 0, 12, 4, 69
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/main.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/AppUser/app_user.dart", "Dart", 0, 0, 0, 60, 0, 0, 7, 67
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/AppUser/app_user.g.dart", "Dart", 0, 0, 0, 34, 0, 4, 5, 43
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/day/day.dart", "Dart", 0, 0, 0, 24, 0, 0, 7, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/day/day.g.dart", "Dart", 0, 0, 0, 11, 0, 4, 5, 20
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/level/level.dart", "Dart", 0, 0, 0, 13, 0, 0, 2, 15
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/settings/settings.dart", "Dart", 0, 0, 0, 12, 0, 1, 6, 19
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/settings/settings.g.dart", "Dart", 0, 0, 0, 8, 0, 4, 5, 17
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/statistics/statistics.dart", "Dart", 0, 0, 0, 52, 0, 0, 8, 60
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/statistics/statistics.g.dart", "Dart", 0, 0, 0, 35, 0, 4, 6, 45
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/task/task.dart", "Dart", 0, 0, 0, 24, 0, 0, 7, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/task/task.g.dart", "Dart", 0, 0, 0, 22, 0, 4, 6, 32
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/router/router.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 8
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/router/router.gr.dart", "Dart", 0, 0, 0, 60, 0, 8, 12, 80
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/all_tasks_screen/view/screen.dart", "Dart", 0, 0, 0, 37, 0, 0, 4, 41
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/view/screen.dart", "Dart", 0, 0, 0, -37, 0, 0, 8, -29
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/widgets/date_picker_dialog.dart", "Dart", 0, 0, 0, 234, 0, 0, 14, 248
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/widgets/date_time_selector.dart", "Dart", 0, 0, 0, 53, 0, 0, 3, 56
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/widgets/task_conf.dart", "Dart", 0, 0, 0, 113, 0, 0, 5, 118
