"filename", "language", "Dart", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_bloc.dart", "Dart", 6, 0, 0, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/AppUser/app_user.dart", "Dart", 48, 0, 3, 51
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/level/level.dart", "Dart", 33, 0, 4, 37
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/levelday/levelday.dart", "Dart", 52, -1, 8, 59
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/task/task.dart", "Dart", 6, 0, 2, 8
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/view/screen.dart", "Dart", 53, 0, 3, 56
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/view/screen.dart", "Dart", -18, 0, -2, -20
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/day_content.dart", "Dart", 38, 0, 4, 42
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/day_header.dart", "Dart", 89, 0, 3, 92
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/empty_task_tile.dart", "Dart", 12, 0, 1, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_body.dart", "Dart", 1, 0, 1, 2
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_header.dart", "Dart", 31, 0, 1, 32
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/task_tile.dart", "Dart", 19, 0, 1, 20
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/utils/validators/validators.dart", "Dart", 10, 0, 1, 11
"Total", "-", 380, -1, 30, 409
